2026-03-14 11:07:39.826 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:07:50.865 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:08:01.921 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:08:12.985 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:08:24.014 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:08:35.023 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:08:46.070 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:08:57.108 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:09:08.141 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:09:19.188 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:09:30.237 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:09:41.273 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:09:52.305 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
