2026-03-16 15:55:46.649 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:55:58.798 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:56:10.939 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:56:23.326 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:56:35.362 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:56:47.654 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:57:00.098 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:57:12.114 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:57:24.244 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:57:36.281 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:57:48.297 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:58:00.505 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:58:12.508 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:58:24.946 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:58:37.024 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:58:49.147 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:59:01.535 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:59:13.625 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:59:25.673 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:59:37.696 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 15:59:49.764 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:00:01.988 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:00:14.118 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:00:26.263 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:00:38.544 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:30:15.105 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:30:27.569 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:30:40.019 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:30:52.357 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:31:04.788 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:31:16.911 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:31:29.162 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:31:41.363 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:31:53.744 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:32:10.030 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:32:22.456 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:32:34.819 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:32:47.284 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:59:10.474 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:59:22.698 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:59:41.695 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 16:59:54.054 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:00:06.202 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:00:18.358 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
